match_id,players_in_chat,percent_players_in_chat
0,7,70.0
1,7,70.0
2,7,70.0
3,8,80.0
4,4,40.0
5,4,40.0
6,4,40.0
7,7,70.0
8,8,80.0
9,8,80.0
10,4,40.0
11,5,50.0
12,8,80.0
13,8,80.0
14,4,40.0
15,5,50.0
16,8,80.0
17,9,90.0
18,8,80.0
19,4,40.0
20,8,80.0
21,6,60.0
22,7,70.0
23,6,60.0
24,7,70.0
25,6,60.0
26,6,60.0
27,5,50.0
28,4,40.0
29,10,100.0
30,3,30.0
31,6,60.0
32,10,100.0
33,5,50.0
34,3,30.0
35,8,80.0
36,1,10.0
37,6,60.0
38,8,80.0
39,6,60.0
40,6,60.0
41,3,30.0
42,5,50.0
43,5,50.0
44,8,80.0
45,8,80.0
46,3,30.0
47,5,50.0
48,6,60.0
49,6,60.0
50,5,50.0
51,7,70.0
52,6,60.0
53,6,60.0
54,7,70.0
55,6,60.0
56,8,80.0
57,6,60.0
58,7,70.0
59,8,80.0
60,8,80.0
61,7,70.0
62,8,80.0
63,6,60.0
64,4,40.0
65,4,40.0
66,7,70.0
67,4,40.0
68,3,30.0
69,7,70.0
70,4,40.0
71,9,90.0
72,8,80.0
73,9,90.0
74,4,40.0
75,5,50.0
76,5,50.0
77,6,60.0
78,8,80.0
79,4,40.0
80,6,60.0
81,7,70.0
82,5,50.0
83,6,60.0
84,5,50.0
85,7,70.0
86,8,80.0
87,6,60.0
88,5,50.0
89,7,70.0
90,6,60.0
91,7,70.0
92,9,90.0
93,4,40.0
94,7,70.0
95,2,20.0
96,7,70.0
97,6,60.0
98,5,50.0
99,7,70.0
100,7,70.0
101,8,80.0
102,8,80.0
103,5,50.0
104,8,80.0
105,6,60.0
106,5,50.0
107,7,70.0
108,8,80.0
109,4,40.0
110,3,30.0
111,4,40.0
112,6,60.0
113,2,20.0
114,6,60.0
115,5,50.0
116,8,80.0
117,5,50.0
118,8,80.0
119,7,70.0
120,8,80.0
121,9,90.0
122,5,50.0
123,4,40.0
124,9,90.0
125,9,90.0
126,8,80.0
127,5,50.0
128,6,60.0
129,7,70.0
130,7,70.0
131,4,40.0
132,5,50.0
133,8,80.0
134,5,50.0
135,4,40.0
136,4,40.0
137,7,70.0
138,5,50.0
139,5,50.0
140,4,40.0
141,8,80.0
142,8,80.0
143,8,80.0
144,9,90.0
145,6,60.0
